,A,B,C,D
2022-01-01,-0.980016017866956,0.21373925221500628,1.1675083269272497,0.8841765432957033
2022-01-02,-0.4895969297573251,-0.04558869301158913,0.2849398490089107,0.21192655648562964
2022-01-03,0.2390320388761546,-1.1243729337707071,0.5928015194745629,-1.0232726182345397
2022-01-04,0.893306873700749,-2.301066710686767,1.1101004644881258,0.7662750928272595
2022-01-05,0.6569976944284789,-0.9386001096467789,0.9559669931660005,0.9173412527211109
2022-01-06,0.3609793749130136,-1.7179158705661413,0.6041256662438568,0.5522216622064515
2022-01-07,1.2184341809684935,-1.2930366101058424,0.9804006465571136,-0.38958985221653186
2022-01-08,1.8092054528223085,-1.5786194305828367,0.9612891085623313,1.1529935684825237
2022-01-09,2.6687277562402554,-1.4653405352322164,1.5412525787602307,1.3735636439752041
2022-01-10,1.5716486575375515,-0.2854380609956475,0.39532555406137604,0.6116524722440915
2022-01-11,1.9275951165681386,-0.11249962819262274,-0.3781649175329137,-0.020635937717686903
2022-01-12,3.617506391500524,-0.4364039999046786,-0.4325512154404021,2.130476144143328
2022-01-13,5.696984669188792,-1.007128967974629,-1.0411045791269986,1.3920266142529494
2022-01-14,5.474127089348577,0.34496362988601903,-1.1066716141800084,1.3607054690554499
2022-01-15,6.496009833757409,1.0318592383493561,0.11651920665273274,0.04268735223440823
2022-01-16,5.8855117851450975,0.27662698891809645,-0.2361716740056885,-0.8568766922120757
2022-01-17,4.699270685688656,-0.22893456747538732,0.8106476073975826,0.052112346954043764
2022-01-18,4.642585205415578,-2.0388641553359266,0.668695189608862,1.0515798645987722
2022-01-19,4.281994435772191,-1.6102191368376157,1.482297234893603,2.4689597844320024
2022-01-20,2.873930166949389,-0.6207103027683892,0.3216420020493138,1.7816919531758342
2022-01-21,2.6389315789834096,1.226831183042342,0.7938418183708167,1.839339171815597
2022-01-22,2.318492607591765,3.3030171130368795,-0.6813003276500544,2.244292887594678
2022-01-23,1.155308909537373,3.683156837248408,0.022023955359144587,0.14106478140120204
2022-01-24,1.1476947444905645,3.0594742684667504,0.4051663116111359,-0.18305064303814617
2022-01-25,0.9447621159321452,1.8181186420957751,-0.26991588765184427,-1.8080117340645814
2022-01-26,0.5186846508049394,1.3706508627531853,-0.30617597378399214,-1.6646903309193368
2022-01-27,0.6731473074639864,0.37422074333236166,1.355128602736555,-0.9397882614712999
2022-01-28,0.8804630826569775,0.06268555678489995,2.1931821433103766,-0.11169474839368654
